feature,feature_value,outcome,seasons_seen,season_count,total_count,min_season_count,avg_rate,avg_lift,min_lift,max_lift,stability_label
extra_innings_previous_game,yes,game_total_9plus,"2023,2024,2025",3,1268,409,0.4787,-0.0197,-0.0413,-0.0078,mixed_or_noisy
BO_gap_bucket,plus_7_to_15,team_f5_runs_2plus,"2023,2024,2025",3,1245,378,0.6026,0.0194,-0.0026,0.0384,mixed_or_noisy
BD_L10_bucket,high_105_115,game_total_9plus,"2023,2024,2025",3,1807,551,0.4791,-0.0193,-0.0388,0.009,mixed_or_noisy
BD_bucket,high_105_115,game_total_9plus,"2023,2024,2025",3,1807,551,0.4791,-0.0193,-0.0388,0.009,mixed_or_noisy
BD_L5_bucket,high_105_115,f5_total_4plus,"2023,2024,2025",3,1478,463,0.6452,0.0193,0.0008,0.0295,mixed_or_noisy
BD_gap_bucket,minus_7_to_15,game_total_9plus,"2023,2024,2025",3,1162,383,0.5177,0.0193,-0.0164,0.0488,mixed_or_noisy
BD_gap_bucket,plus_7_to_15,game_total_9plus,"2023,2024,2025",3,1162,383,0.5177,0.0193,-0.0164,0.0488,mixed_or_noisy
BO_plus_tired_bullpen_tag,yes,team_won,"2023,2024,2025",3,5172,1717,0.5185,0.0192,0.018,0.0214,mixed_or_noisy
BO_L5_bucket,very_low_lt_85,team_runs_4plus,"2023,2024,2025",3,4859,1580,0.5387,-0.0192,-0.0242,-0.0099,mixed_or_noisy
BO_vs_opponent_BD_gap_bucket,plus_15_plus,team_post5_runs_2plus,"2023,2024,2025",3,4841,1576,0.5,0.019,0.0127,0.0247,mixed_or_noisy
BO_event_bucket,avg_95_105,opponent_runs_5plus,"2023,2024,2025",3,3135,938,0.4506,0.019,0.015,0.0216,mixed_or_noisy
BO_L10_bucket,avg_95_105,opponent_runs_5plus,"2023,2024,2025",3,2079,628,0.4126,-0.0189,-0.051,0.0054,mixed_or_noisy
BO_bucket,avg_95_105,opponent_runs_5plus,"2023,2024,2025",3,2079,628,0.4126,-0.0189,-0.051,0.0054,mixed_or_noisy
BO_event_bucket,very_high_115_plus,team_f5_runs_2plus,"2023,2024,2025",3,2686,811,0.6019,0.0188,-0.0156,0.0475,mixed_or_noisy
BO_L5_bucket,very_low_lt_85,team_won,"2023,2024,2025",3,4859,1580,0.4806,-0.0187,-0.0289,-0.0082,mixed_or_noisy
strong_BO_clean_BD_tag,yes,team_f5_runs_2plus,"2023,2024,2025",3,3330,1085,0.6018,0.0187,0.0062,0.0281,mixed_or_noisy
error_rate_L10_bucket,low_lt_25,opponent_post5_runs_2plus,"2023,2024,2025",3,3402,1051,0.4995,0.0185,0.0156,0.02,mixed_or_noisy
BO_L10_bucket,very_high_115_plus,game_total_10plus,"2023,2024,2025",3,4604,1506,0.4175,0.0184,0.0076,0.0296,mixed_or_noisy
BO_bucket,very_high_115_plus,game_total_10plus,"2023,2024,2025",3,4604,1506,0.4175,0.0184,0.0076,0.0296,mixed_or_noisy
bullpen_outs_last_2d_bucket,very_heavy_28_plus,team_f5_runs_2plus,"2023,2024,2025",3,2542,786,0.5647,-0.0184,-0.0385,0.0048,mixed_or_noisy
BD_L5_bucket,very_low_lt_85,opponent_runs_4plus,"2023,2024,2025",3,4438,1461,0.5763,0.0183,0.012,0.0247,mixed_or_noisy
avoid_low_BO_strong_BD_tag,yes,game_total_9plus,"2023,2024,2025",3,3132,974,0.4801,-0.0183,-0.0331,-0.0074,mixed_or_noisy
BO_L10_bucket,avg_95_105,game_total_10plus,"2023,2024,2025",3,2079,628,0.3808,-0.0183,-0.0352,-0.0042,mixed_or_noisy
BO_bucket,avg_95_105,game_total_10plus,"2023,2024,2025",3,2079,628,0.3808,-0.0183,-0.0352,-0.0042,mixed_or_noisy
BO_event_bucket,very_low_lt_85,team_f5_runs_2plus,"2023,2024,2025",3,3528,1159,0.565,-0.0182,-0.0222,-0.0103,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,very_high_70_plus,team_won,"2023,2024,2025",3,1036,329,0.4814,-0.0179,-0.0623,0.026,mixed_or_noisy
big_inning_allowed_rate_L10_bucket,very_high_70_plus,opponent_post5_runs_2plus,"2023,2024,2025",3,1036,329,0.4988,0.0178,0.0101,0.0327,mixed_or_noisy
BO_event_bucket,high_105_115,team_f5_runs_2plus,"2023,2024,2025",3,2481,796,0.6008,0.0177,0.0047,0.0251,mixed_or_noisy
BO_gap_bucket,minus_15_or_worse,opponent_runs_4plus,"2023,2024,2025",3,5095,1663,0.5755,0.0175,-0.0047,0.0328,mixed_or_noisy
BO_gap_bucket,plus_15_plus,team_runs_4plus,"2023,2024,2025",3,5095,1663,0.5755,0.0175,-0.0047,0.0328,mixed_or_noisy
reliever_appearances_last_2d_bucket,low_1_3,opponent_post5_runs_2plus,"2023,2024,2025",3,422,131,0.4635,-0.0174,-0.0579,0.0336,mixed_or_noisy
BO_event_bucket,high_105_115,team_won,"2023,2024,2025",3,2481,796,0.5166,0.0173,0.002,0.0377,mixed_or_noisy
BD_gap_bucket,neutral_minus7_plus7,opponent_post5_runs_2plus,"2023,2024,2025",3,2046,624,0.4637,-0.0173,-0.021,-0.0103,mixed_or_noisy
BD_gap_bucket,neutral_minus7_plus7,team_post5_runs_2plus,"2023,2024,2025",3,2046,624,0.4637,-0.0173,-0.021,-0.0103,mixed_or_noisy
BO_event_bucket,high_105_115,team_runs_5plus,"2023,2024,2025",3,2481,796,0.4487,0.0172,0.0082,0.0325,mixed_or_noisy
BO_L5_bucket,very_high_115_plus,team_runs_5plus,"2023,2024,2025",3,5192,1714,0.4487,0.0171,0.0104,0.023,mixed_or_noisy
BO_L10_bucket,very_low_lt_85,team_post5_runs_2plus,"2023,2024,2025",3,4179,1333,0.4639,-0.0171,-0.035,-0.0034,mixed_or_noisy
BO_bucket,very_low_lt_85,team_post5_runs_2plus,"2023,2024,2025",3,4179,1333,0.4639,-0.0171,-0.035,-0.0034,mixed_or_noisy
BO_event_bucket,low_85_95,team_runs_5plus,"2023,2024,2025",3,3090,1000,0.4145,-0.0171,-0.0306,0.0034,mixed_or_noisy
