season,state_bucket,opponent_run_prevention_bucket,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2025,down_1_late_7_plus,40_45,520,0.2173,0.3308,0.3404,0.4154,0.3308,0.9673,4136,0.2038,0.0135,0.3039,0.0269,0.3138,0.0266,0.3656,0.0498,0.3039,0.0269,0.9768,-0.0095
2024,down_3_f5_1_5,45_50,518,0.1081,0.2259,0.4247,0.5907,0.4633,0.2587,1931,0.13,-0.0219,0.2258,0.0001,0.392,0.0327,0.5298,0.0609,0.4247,0.0386,0.2496,0.0091
2024,down_3_early_1_3,50_55,515,0.1398,0.2738,0.3767,0.5243,0.3883,0.2136,1634,0.1707,-0.0309,0.2803,-0.0065,0.4002,-0.0235,0.5532,-0.0289,0.4278,-0.0395,0.2301,-0.0165
2024,down_1_middle_6,50_55,509,0.3065,0.4892,0.387,0.5462,0.442,0.9764,1608,0.3346,-0.0281,0.51,-0.0208,0.3943,-0.0073,0.5647,-0.0185,0.449,-0.007,0.9826,-0.0062
2023,down_5_plus_f5_1_5,50_55,506,0.0415,0.0573,0.4269,0.6344,0.4704,0.0534,1901,0.0395,0.002,0.0631,-0.0058,0.3924,0.0345,0.5692,0.0652,0.4477,0.0227,0.0568,-0.0034
2024,down_1_f5_1_5,40_45,505,0.3525,0.5723,0.4356,0.6139,0.4515,0.9703,3704,0.3386,0.0139,0.5702,0.0021,0.4023,0.0333,0.5664,0.0475,0.4355,0.016,0.9754,-0.0051
2025,down_1_f5_1_5,40_45,504,0.3571,0.5615,0.3929,0.5278,0.4405,0.9762,3632,0.3648,-0.0077,0.5765,-0.015,0.4025,-0.0096,0.5498,-0.022,0.4452,-0.0047,0.9722,0.004
2025,down_2_f5_1_5,55_60,501,0.2056,0.3493,0.3433,0.497,0.4092,0.4092,2589,0.2364,-0.0308,0.4002,-0.0509,0.409,-0.0657,0.5577,-0.0607,0.4434,-0.0342,0.4434,-0.0342
2024,down_5_plus_middle_6,50_55,497,0.004,0.0121,0.3421,0.4809,0.3843,0.0141,1412,0.0184,-0.0144,0.0269,-0.0148,0.3817,-0.0396,0.5163,-0.0354,0.4256,-0.0413,0.0276,-0.0135
2023,down_2_early_1_3,55_60,496,0.3085,0.5383,0.4294,0.5726,0.4738,0.4738,2917,0.2989,0.0096,0.505,0.0333,0.432,-0.0026,0.5883,-0.0157,0.4758,-0.002,0.4758,-0.002
2025,down_3_f5_1_5,50_55,492,0.1077,0.2195,0.4004,0.5366,0.4614,0.2561,1710,0.1357,-0.028,0.2216,-0.0021,0.3713,0.0291,0.5222,0.0144,0.4146,0.0468,0.2444,0.0117
2023,down_1_f5_1_5,40_45,483,0.3333,0.5797,0.4762,0.6025,0.4948,0.9834,3577,0.3528,-0.0195,0.5801,-0.0004,0.4082,0.068,0.5639,0.0386,0.4507,0.0441,0.9723,0.0111
2023,down_3_f5_1_5,50_55,482,0.1743,0.2863,0.4191,0.5705,0.4481,0.278,1832,0.1736,0.0007,0.2735,0.0128,0.4099,0.0092,0.5617,0.0088,0.4481,0.0,0.2702,0.0078
2023,down_2_late_7_plus,40_45,480,0.1229,0.1708,0.3104,0.3542,0.3021,0.3021,3321,0.1186,0.0043,0.174,-0.0032,0.3342,-0.0238,0.3927,-0.0385,0.3219,-0.0198,0.3219,-0.0198
2023,down_3_early_1_3,45_50,480,0.2062,0.3521,0.4417,0.6125,0.4771,0.3312,1690,0.226,-0.0198,0.3657,-0.0136,0.4385,0.0032,0.5964,0.0161,0.458,0.0191,0.2817,0.0495
2023,down_5_plus_f5_1_5,45_50,477,0.0356,0.0587,0.4256,0.5807,0.4759,0.0503,1901,0.0395,-0.0039,0.0631,-0.0044,0.3924,0.0332,0.5692,0.0115,0.4477,0.0282,0.0568,-0.0065
2023,down_3_early_1_3,50_55,472,0.2119,0.3686,0.4661,0.6229,0.4597,0.2818,1690,0.226,-0.0141,0.3657,0.0029,0.4385,0.0276,0.5964,0.0265,0.458,0.0017,0.2817,0.0001
2025,down_1_middle_6,50_55,470,0.3383,0.4745,0.3574,0.5064,0.4,0.983,1601,0.3279,0.0104,0.4859,-0.0114,0.3691,-0.0117,0.524,-0.0176,0.4204,-0.0204,0.9781,0.0049
2025,down_2_late_7_plus,40_45,460,0.1587,0.1978,0.4043,0.4848,0.413,0.413,3185,0.1058,0.0529,0.1799,0.0179,0.3341,0.0702,0.3962,0.0886,0.3353,0.0777,0.3353,0.0777
