season,state_bucket,home_away,count,eventually_won_rate,tied_or_led_later_rate,scored_next_1_inning_rate,scored_next_2_innings_rate,reduced_deficit_next_2_rate,within_1_next_2_rate,baseline_count,eventually_won_baseline_rate,eventually_won_lift,tied_or_led_later_baseline_rate,tied_or_led_later_lift,scored_next_1_inning_baseline_rate,scored_next_1_inning_lift,scored_next_2_innings_baseline_rate,scored_next_2_innings_lift,reduced_deficit_next_2_baseline_rate,reduced_deficit_next_2_lift,within_1_next_2_baseline_rate,within_1_next_2_lift
2023,down_2_middle_6,away,622,0.1576,0.2781,0.3167,0.4887,0.4116,0.4116,1240,0.1984,-0.0408,0.3056,-0.0275,0.3903,-0.0736,0.5379,-0.0492,0.4323,-0.0207,0.4323,-0.0207
2023,down_2_middle_6,home,618,0.2395,0.3333,0.4644,0.5874,0.4531,0.4531,1240,0.1984,0.0411,0.3056,0.0277,0.3903,0.0741,0.5379,0.0495,0.4323,0.0208,0.4323,0.0208
2024,down_4_f5_1_5,home,614,0.0879,0.1775,0.4414,0.5896,0.4544,0.1857,1221,0.0844,0.0035,0.1532,0.0243,0.3931,0.0483,0.5569,0.0327,0.4398,0.0146,0.1507,0.035
2024,down_4_f5_1_5,away,607,0.0807,0.1285,0.3443,0.5239,0.425,0.1153,1221,0.0844,-0.0037,0.1532,-0.0247,0.3931,-0.0488,0.5569,-0.033,0.4398,-0.0148,0.1507,-0.0354
2025,down_4_f5_1_5,home,602,0.103,0.1645,0.4701,0.6113,0.49,0.1578,1146,0.0864,0.0166,0.1257,0.0388,0.3927,0.0774,0.5515,0.0598,0.4564,0.0336,0.1405,0.0173
2023,down_5_plus_early_1_3,home,584,0.0788,0.1233,0.4726,0.6267,0.4897,0.0702,921,0.0641,0.0147,0.1042,0.0191,0.4332,0.0394,0.6113,0.0154,0.4734,0.0163,0.0543,0.0159
2023,down_4_f5_1_5,away,583,0.0566,0.0978,0.3533,0.5009,0.4237,0.0978,1143,0.0971,-0.0405,0.1557,-0.0579,0.4156,-0.0623,0.5608,-0.0599,0.4558,-0.0321,0.1382,-0.0404
2023,down_4_f5_1_5,home,560,0.1393,0.2161,0.4804,0.6232,0.4893,0.1804,1143,0.0971,0.0422,0.1557,0.0604,0.4156,0.0648,0.5608,0.0624,0.4558,0.0335,0.1382,0.0422
2025,down_4_f5_1_5,away,544,0.068,0.0827,0.307,0.4853,0.4191,0.1213,1146,0.0864,-0.0184,0.1257,-0.043,0.3927,-0.0857,0.5515,-0.0662,0.4564,-0.0373,0.1405,-0.0192
2024,down_3_middle_6,home,538,0.1134,0.171,0.4814,0.5855,0.487,0.2714,1020,0.098,0.0154,0.1539,0.0171,0.4118,0.0696,0.5363,0.0492,0.4275,0.0595,0.2392,0.0322
