season,state_bucket,l10_rpg_bucket,count,held_to_win_rate,gave_up_tie_or_lead_rate,opponent_scored_next_1_inning_rate,opponent_scored_next_2_innings_rate,lead_reduced_next_2_rate,lead_cut_to_1_next_2_rate,baseline_count,held_to_win_baseline_rate,held_to_win_lift,gave_up_tie_or_lead_baseline_rate,gave_up_tie_or_lead_lift,opponent_scored_next_1_inning_baseline_rate,opponent_scored_next_1_inning_lift,opponent_scored_next_2_innings_baseline_rate,opponent_scored_next_2_innings_lift,lead_reduced_next_2_baseline_rate,lead_reduced_next_2_lift,lead_cut_to_1_next_2_baseline_rate,lead_cut_to_1_next_2_lift
2023,up_4_late_7_plus,mid_3_5_4_5,625,0.976,0.0288,0.3168,0.3536,0.2736,0.0608,2125,0.9755,0.0005,0.0381,-0.0093,0.3233,-0.0065,0.3751,-0.0215,0.2894,-0.0158,0.0776,-0.0168
2025,up_4_late_7_plus,mid_3_5_4_5,625,0.976,0.032,0.2496,0.3024,0.2192,0.0384,1928,0.9761,-0.0001,0.0311,0.0009,0.2822,-0.0326,0.333,-0.0306,0.2573,-0.0381,0.0705,-0.0321
2023,up_3_f5_1_5,high_4_5_5_5,620,0.8323,0.2581,0.4129,0.5468,0.4403,0.2435,1832,0.8264,0.0059,0.2735,-0.0154,0.4099,0.003,0.5617,-0.0149,0.4481,-0.0078,0.2702,-0.0267
2023,up_2_f5_1_5,very_high_5_5_plus,618,0.7961,0.4191,0.3883,0.5227,0.4304,0.4304,2652,0.7534,0.0427,0.4163,0.0028,0.4427,-0.0544,0.592,-0.0693,0.4729,-0.0425,0.4729,-0.0425
2025,up_2_late_7_plus,very_high_5_5_plus,597,0.9129,0.1742,0.3568,0.407,0.3451,0.3451,3185,0.8942,0.0187,0.1799,-0.0057,0.3341,0.0227,0.3962,0.0108,0.3353,0.0098,0.3353,0.0098
2023,up_3_late_7_plus,very_high_5_5_plus,586,0.9232,0.099,0.3259,0.3771,0.2986,0.1945,2579,0.9387,-0.0155,0.0954,0.0036,0.3373,-0.0114,0.3889,-0.0118,0.3075,-0.0089,0.1706,0.0239
2024,up_2_late_7_plus,very_high_5_5_plus,571,0.9037,0.1243,0.324,0.373,0.3065,0.3065,3327,0.8744,0.0293,0.1776,-0.0533,0.3408,-0.0168,0.3956,-0.0226,0.3267,-0.0202,0.3267,-0.0202
2023,up_1_late_7_plus,low_lt_3_5,564,0.7713,0.3582,0.3528,0.4043,0.3582,0.9752,4144,0.7734,-0.0021,0.3313,0.0269,0.3448,0.008,0.3924,0.0119,0.3313,0.0269,0.9718,0.0034
2025,up_5_plus_f5_1_5,mid_3_5_4_5,561,0.934,0.0927,0.4492,0.5971,0.492,0.0588,1789,0.9631,-0.0291,0.0598,0.0329,0.4203,0.0289,0.5696,0.0275,0.4477,0.0443,0.0464,0.0124
2023,up_5_plus_f5_1_5,high_4_5_5_5,557,0.9767,0.0575,0.4075,0.5548,0.4596,0.0539,1901,0.9605,0.0162,0.0631,-0.0056,0.3924,0.0151,0.5692,-0.0144,0.4477,0.0119,0.0568,-0.0029
