season,combo,feature_value,outcome,count,feature_rate,baseline_rate,lift
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_trailed_early_1to3,774,0.5142,0.4889,0.0253
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_trailed_early_1to3,771,0.4838,0.4826,0.0012
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_trailed_early_1to3,719,0.4993,0.4927,0.0066
2023,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_won,774,0.5181,0.5,0.0181
2024,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_won,771,0.5331,0.498,0.0351
2025,home_away+l10_rpg_bucket,home__high_4_5_5_5,team_won,719,0.5438,0.5,0.0438
2023,home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_4plus,354,0.6328,0.6342,-0.0014
2024,home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_4plus,470,0.5936,0.6211,-0.0275
2025,home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_4plus,492,0.6199,0.6226,-0.0027
2023,home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_5plus,354,0.5678,0.531,0.0368
2024,home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_5plus,470,0.4723,0.4957,-0.0234
2025,home_away+l10_rpg_bucket,home__low_lt_3_5,f5_total_5plus,492,0.5,0.4925,0.0075
2023,home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_10plus,354,0.4661,0.4257,0.0404
2024,home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_10plus,470,0.3426,0.3805,-0.0379
2025,home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_10plus,492,0.3841,0.3911,-0.007
2023,home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_9plus,354,0.5593,0.5237,0.0356
2024,home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_9plus,470,0.4532,0.4863,-0.0331
2025,home_away+l10_rpg_bucket,home__low_lt_3_5,game_total_9plus,492,0.4756,0.4853,-0.0097
2023,home_away+l10_rpg_bucket,home__low_lt_3_5,opponent_blew_early_small_lead,354,0.3362,0.2853,0.0509
